issuer,gold,pred_rule,pred_ml,rule_class,ml_class,ml_title_gss,ml_framing_body,ml_framing_title,ml_thresh,ml_top_env,ml_top_soc,ml_maxscore,ml_conf,pdf
INET,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.194,0.88,20251229_INET_Penyampaian Prospektus_Informasi Tambahan_32015801_lamp3.pdf
INKP,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.419,0.8,20240910_INKP_Laporan Informasi dan Fakta Material_31724579_lamp2.pdf
KAII,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.355,0.88,20241104_KAII_Laporan Informasi dan Fakta Material_31753049_lamp1.pdf
LPCK,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.384,0.67,20250417_LPCK_Penyampaian Prospektus_Informasi Tambahan_31876367_lamp2.pdf
LPPI,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.316,0.88,20251110_LPPI_Penyampaian Bukti Iklan_31983902_lamp2.pdf
LUCY,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.293,0.85,20240103_LUCY_Penyampaian Prospektus_Informasi Tambahan_31564018_lamp1.pdf
MAYA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.331,0.78,20240112_MAYA_Penyampaian Prospektus_Informasi Tambahan_31568335_lamp1.pdf
MDKA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.403,0.83,20241129_MDKA_Penyampaian Bukti Iklan_31792735_lamp1.pdf
MEDC,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.225,0.88,20250422_MEDC_Penyampaian Prospektus_Informasi Tambahan_31876946_lamp2.pdf
MEDP,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.395,0.85,20250426_MEDP_Laporan Informasi dan Fakta Material_31878371_lamp1.pdf
MINA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.325,0.79,20250702_MINA_Penyampaian Prospektus_Informasi Tambahan_31910623_lamp1.pdf
MSIE,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.119,0.88,20240730_MSIE_Laporan Informasi dan Fakta Material_31689015_lamp1.pdf
MTEL,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.322,0.8,20240619_MTEL_Penyampaian Bukti Iklan_31662463_lamp2.pdf
PALM,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.358,0.88,20250807_PALM_Penyampaian Prospektus_Informasi Tambahan_31931475_lamp1.pdf
PANI,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.233,0.88,20251210_PANI_Penyampaian Prospektus_Informasi Tambahan_32012196_lamp1.pdf
PIDL,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.496,0.65,20241212_PIDL_Penyampaian Bukti Iklan_31818566_lamp2.pdf
PRTL,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.237,0.88,20240619_PRTL_Laporan Informasi dan Fakta Material_31662315_lamp1.pdf
PTPP,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.406,0.83,20240607_PTPP_Penyampaian Prospektus_Informasi Tambahan_31648261_lamp1.pdf
PTRO,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.575,0.49,20241113_PTRO_Penyampaian Prospektus_Informasi Tambahan_31767404_lamp2.pdf
PYFA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.295,0.88,20240404_PYFA_Penyampaian Prospektus_Informasi Tambahan_31624549_lamp1.pdf
SDRA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.318,0.8,20240416_SDRA_Penyampaian Bukti Iklan_31626509_lamp2.pdf
SGRO,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.379,0.88,20250616_SGRO_Penyampaian Bukti Iklan_31895463_lamp1.pdf
SMAR,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.313,0.88,20260120_SMAR_Penyampaian Prospektus_Informasi Tambahan_32021192_lamp2.pdf
SMMA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.361,0.88,20240401_SMMA_Penyampaian Prospektus_Informasi Tambahan_31621670_lamp2.pdf
TBIG,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.354,0.88,20250620_TBIG_Penyampaian Bukti Iklan_31897038_lamp1.pdf
TOWR,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.250,0.88,20250702_TOWR_Penyampaian Prospektus_Informasi Tambahan_31910612_lamp1.pdf
TPIA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.106,0.88,20251218_TPIA_Penyampaian Prospektus_Informasi Tambahan_32013974_lamp1.pdf
TPMA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.284,0.87,20240611_TPMA_Penyampaian Prospektus_Informasi Tambahan_31659960_lamp2.pdf
TUFI,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.402,0.84,20250626_TUFI_Penyampaian Prospektus_Informasi Tambahan_31908936_lamp4.pdf
WIFI,NonGSS,GSS,NonGSS,green,obligasi_biasa,False,,,0.62,,,0.386,0.87,20250624_WIFI_Penyampaian Prospektus_Informasi Tambahan_31908127_lamp1.pdf
WIKA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.234,0.88,20240123_WIKA_Laporan Informasi dan Fakta Material_31571064_lamp1.pdf
WISL,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.256,0.88,20260223_WISL_Penyampaian Prospektus_Informasi Tambahan_32028797_lamp2.pdf
WOMF,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.346,0.88,20240625_WOMF_Penyampaian Prospektus_Informasi Tambahan_31674568_lamp2.pdf
